Text,text,compound,negative,neutral,positive,sentiment
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,0.7096,0.0,0.704,0.296,positive
"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .","Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",0.6249,0.0,0.788,0.212,positive
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,0.4404,0.0,0.828,0.172,positive
Intertek Group announces strategic update outlining its plan,Intertek Group announces strategic update outlining its plan,0.0,0.0,1.0,0.0,neutral
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .","Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",0.2732,0.055,0.849,0.096,positive
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal","EU regulators clear $100 billion-plus AB InBev, SABMiller deal",0.3818,0.0,0.755,0.245,positive
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,-0.128,0.176,0.824,0.0,negative
"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",0.6808,0.0,0.864,0.136,positive
Exel wants to serve its industrial customers with individual products .,Exel wants to serve its industrial customers with individual products .,0.0,0.0,1.0,0.0,neutral
The measures taken will cause one-time costs during the final part of 2006 .,The measures taken will cause one-time costs during the final part of 2006 .,0.0,0.0,1.0,0.0,neutral
M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,0.0516,0.079,0.833,0.088,positive
Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .,0.0,0.0,1.0,0.0,neutral
As a result some 20 persons will no longer be needed .,As a result some 20 persons will no longer be needed .,-0.296,0.196,0.804,0.0,negative
Sales increased due to growing market rates and increased operations .,Sales increased due to growing market rates and increased operations .,0.5994,0.0,0.543,0.457,positive
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .","Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0.3182,0.082,0.745,0.173,positive
"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy","$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",0.0,0.0,1.0,0.0,neutral
Sanofi poaches AstraZeneca scientist as new research head,Sanofi poaches AstraZeneca scientist as new research head,0.0,0.0,1.0,0.0,neutral
$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,0.7717,0.0,0.573,0.427,positive
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .","In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",-0.3182,0.108,0.892,0.0,negative
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .","Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",-0.4588,0.136,0.864,0.0,negative
Active shipping is essential for Finland .,Active shipping is essential for Finland .,0.4019,0.0,0.649,0.351,positive
"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00","$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",0.0,0.0,1.0,0.0,neutral
The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,0.0,0.0,1.0,0.0,neutral
"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .","A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",0.296,0.0,0.885,0.115,positive
"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .","The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",0.0,0.0,1.0,0.0,neutral
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack","BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",-0.4767,0.256,0.744,0.0,negative
Competition authorities will have to approve the deal before it can be finalized .,Competition authorities will have to approve the deal before it can be finalized .,0.0,0.0,1.0,0.0,neutral
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,0.0,0.0,1.0,0.0,neutral
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,0.0,0.0,1.0,0.0,neutral
"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .","Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",0.0,0.0,1.0,0.0,neutral
Sales of security and system packaging increased slightly .,Sales of security and system packaging increased slightly .,0.5423,0.0,0.571,0.429,positive
"Typically , the transmission power level can be decreased when the interference noise is above a predefined value .","Typically , the transmission power level can be decreased when the interference noise is above a predefined value .",0.34,0.0,0.862,0.138,positive
"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .","Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .",0.6124,0.0,0.821,0.179,positive
"According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .","According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .",-0.2732,0.095,0.905,0.0,negative
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .","The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",0.0,0.0,1.0,0.0,neutral
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,0.0,0.0,1.0,0.0,neutral
"Previously , the plant was expected to be completed by the end of 2008 .","Previously , the plant was expected to be completed by the end of 2008 .",0.0,0.0,1.0,0.0,neutral
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .","M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",0.0,0.0,1.0,0.0,neutral
Capital base and capital adequacy measurement is based on approaches under Basel II .,Capital base and capital adequacy measurement is based on approaches under Basel II .,0.0,0.0,1.0,0.0,neutral
"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .","The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",0.296,0.0,0.944,0.056,positive
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .","Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",0.0,0.0,1.0,0.0,neutral
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,0.7506,0.064,0.679,0.257,positive
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .","`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",0.7351,0.0,0.763,0.237,positive
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",0.0,0.0,1.0,0.0,neutral
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,0.0,0.0,1.0,0.0,neutral
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .","`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",0.0,0.0,1.0,0.0,neutral
"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .","According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",0.0,0.0,1.0,0.0,neutral
The volumes are expected to increase during the next few years .,The volumes are expected to increase during the next few years .,0.3182,0.0,0.813,0.187,positive
"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...","maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...",-0.5423,0.179,0.821,0.0,negative
Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,0.0,0.0,1.0,0.0,neutral
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .","Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",0.1779,0.0,0.909,0.091,positive
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,0.0,0.0,1.0,0.0,neutral
`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,0.2023,0.0,0.878,0.122,positive
$NUGT longer term bullish,$NUGT longer term bullish,0.0,0.0,1.0,0.0,neutral
"shock phase ' , consumers have once again started to plan and implement building projects .","shock phase ' , consumers have once again started to plan and implement building projects .",-0.3818,0.178,0.822,0.0,negative
"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .","Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",0.6249,0.0,0.806,0.194,positive
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .","Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",0.0772,0.0,0.939,0.061,positive
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .","Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",0.0,0.0,1.0,0.0,neutral
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .","The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",0.0,0.0,1.0,0.0,neutral
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .","Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",0.4404,0.0,0.734,0.266,positive
"Also , a six-year historic analysis is provided for these markets .","Also , a six-year historic analysis is provided for these markets .",0.0,0.0,1.0,0.0,neutral
This amount will not be included in the pensionable salary .,This amount will not be included in the pensionable salary .,0.0,0.0,1.0,0.0,neutral
$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,0.0,0.0,1.0,0.0,neutral
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .","In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",0.1531,0.085,0.809,0.107,positive
Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .,Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .,0.0,0.0,1.0,0.0,neutral
"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .","To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .",0.128,0.097,0.783,0.12,positive
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .","In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",0.0,0.0,1.0,0.0,neutral
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,0.3818,0.0,0.867,0.133,positive
Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,-0.3182,0.067,0.933,0.0,negative
Deliveries have started and the network will be ready for a launch soon .,Deliveries have started and the network will be ready for a launch soon .,0.3612,0.0,0.815,0.185,positive
"ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .","ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .",0.0,0.0,1.0,0.0,neutral
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .","Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",0.4767,0.0,0.763,0.237,positive
Net sales fell by 5 % from the previous accounting period .,Net sales fell by 5 % from the previous accounting period .,0.0,0.0,1.0,0.0,neutral
"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .","Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",-0.4588,0.267,0.733,0.0,negative
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0.0,0.0,1.0,0.0,neutral
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .","Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",0.1531,0.108,0.755,0.137,positive
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .","Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",0.1531,0.108,0.755,0.137,positive
What would you like to see changed on Nokia 's next attempt ?,What would you like to see changed on Nokia 's next attempt ?,0.3612,0.0,0.815,0.185,positive
The company will release its 2010 results on 11 February 2011 .,The company will release its 2010 results on 11 February 2011 .,0.0,0.0,1.0,0.0,neutral
"The orange-handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York , as well as the Philadelphia Museum of Art .","The orange-handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York , as well as the Philadelphia Museum of Art .",0.2732,0.0,0.93,0.07,positive
And U.S. energy executives say high steel prices are threatening energy exploration .,And U.S. energy executives say high steel prices are threatening energy exploration .,0.1779,0.194,0.457,0.349,positive
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .","Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",0.0,0.0,1.0,0.0,neutral
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .","Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",0.802,0.0,0.714,0.286,positive
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,-0.3182,0.063,0.937,0.0,negative
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,0.0,0.153,0.694,0.153,neutral
"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .","Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",0.6124,0.0,0.792,0.208,positive
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .","A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",0.0,0.0,1.0,0.0,neutral
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .","At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",0.8126,0.0,0.704,0.296,positive
This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,0.3612,0.0,0.889,0.111,positive
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,-0.296,0.18,0.82,0.0,negative
$INVE : SEE YA ABOVE $8,$INVE : SEE YA ABOVE $8,0.0,0.0,1.0,0.0,neutral
The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .,The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .,0.0,0.0,1.0,0.0,neutral
"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .","Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .",0.6124,0.0,0.891,0.109,positive
Construction is expected to be completed in the summer of 2011 .,Construction is expected to be completed in the summer of 2011 .,0.0,0.0,1.0,0.0,neutral
Poyry is a global expert in consulting and engineering .,Poyry is a global expert in consulting and engineering .,0.0,0.0,1.0,0.0,neutral
"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .","Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",0.0,0.0,1.0,0.0,neutral
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),0.6124,0.0,0.8,0.2,positive
Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,0.6705,0.0,0.814,0.186,positive
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,0.8176,0.0,0.725,0.275,positive
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,0.0,0.0,1.0,0.0,neutral
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,0.1779,0.072,0.836,0.092,positive
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,0.5106,0.0,0.92,0.08,positive
"The orders consist in total of over 1,600 panels of lift-away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from 2,000 to 13,300 TEUs .","The orders consist in total of over 1,600 panels of lift-away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from 2,000 to 13,300 TEUs .",0.0,0.0,1.0,0.0,neutral
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,0.3612,0.0,0.894,0.106,positive
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .","At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",-0.296,0.058,0.942,0.0,negative
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,Imperial Tobacco Adds Quarterly Dividends After Profit Rose,0.4404,0.0,0.707,0.293,positive
$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,0.0,0.0,1.0,0.0,neutral
"The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal .","The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal .",0.3919,0.0,0.883,0.117,positive
"However , the broker gave an `` outperform '' recommendation on the stock .","However , the broker gave an `` outperform '' recommendation on the stock .",0.0,0.0,1.0,0.0,neutral
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,0.128,0.0,0.88,0.12,positive
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .","Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",0.0,0.0,1.0,0.0,neutral
Also construction expenses have gone up in Russia .,Also construction expenses have gone up in Russia .,0.0,0.0,1.0,0.0,neutral
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,0.0,0.0,1.0,0.0,neutral
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",0.0,0.0,1.0,0.0,neutral
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,-0.2732,0.16,0.84,0.0,negative
"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .","`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",0.4404,0.0,0.896,0.104,positive
"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry .","Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry .",0.1779,0.0,0.876,0.124,positive
"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .","The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",0.2732,0.0,0.954,0.046,positive
$RIMM $spx $nya $compq $djia all going down,$RIMM $spx $nya $compq $djia all going down,0.0,0.0,1.0,0.0,neutral
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .","9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",0.2732,0.105,0.764,0.131,positive
M2 Communications disclaims all liability for information provided within information on on the world wide web .,M2 Communications disclaims all liability for information provided within information on on the world wide web .,-0.2023,0.107,0.893,0.0,negative
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .","In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",0.0258,0.0,0.961,0.039,neutral
"The firm 's UK head office is in Rugby Road , Lutterworth .","The firm 's UK head office is in Rugby Road , Lutterworth .",0.0,0.0,1.0,0.0,neutral
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .","The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",0.0,0.0,1.0,0.0,neutral
"In addition to software development , the new design unit will provide for mechanical engineering and electronics design .","In addition to software development , the new design unit will provide for mechanical engineering and electronics design .",0.0,0.0,1.0,0.0,neutral
CRH's concrete bid for Holcim Lafarge assets,CRH's concrete bid for Holcim Lafarge assets,0.1779,0.0,0.779,0.221,positive
